Situação Pós-Pleito;Nome Completo;Nome Urna;Cargo;Número;Partido;Situação;Coligação
Concorrendo;WALDEMIRO LIVINGSTON DE SOUZA;PEIXE;Deputado Distrital;20011;PSC;Aguardando julgamento;PSC
Concorrendo;PEDRO PAULO DE OLIVEIRA;PEPA;Deputado Distrital;20120;PSC;Aguardando julgamento;PSC
Concorrendo;LUCIO VARLONE PEREIRA DE SA;PEREIRA;Deputado Distrital;35555;PMB;Aguardando julgamento;RENOVA DF
Concorrendo;CREUZENIR MAGALHÃES DA COSTA GONÇALVES;PETRA MAGALHÃES;Deputado Distrital;29129;PCO;Aguardando julgamento;PCO
Concorrendo;PAULO HENRIQUE DE SOUSA;PH PAULO HENRIQUE;Deputado Distrital;36373;PTC;Aguardando julgamento;mobilizar pra mudar
Concorrendo;HILARIO JONAS DOS SANTOS;PIRIGOSO;Deputado Distrital;77070;SOLIDARIEDADE;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ROBERTO POLICARPO FAGUNDES;POLICARPO;Deputado Distrital;13222;PT;Aguardando julgamento;PT
Concorrendo;JOSÉ FERNANDO HONORATO DE AZEVEDO;POLICIAL FEDERAL HONORATO;Deputado Distrital;44038;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;JOSE CARLOS SANTIAGO GUIMARAES;POLICIAL FEDERAL SANTIAGO;Deputado Distrital;36100;PTC;Aguardando julgamento;mobilizar pra mudar
Concorrendo;ALESSANDRO MARTINS ALVES;PR. ALESSANDRO MARTINS;Deputado Distrital;90121;PROS;Aguardando julgamento;PROS
Concorrendo;GLEIDE MARA DE SOUSA;PROESSORA GLEIDE;Deputado Distrital;31321;PHS;Aguardando julgamento;PHS
Concorrendo;ADEMILSON PEIXOTO SOARES;PROF ADEMILSOM;Deputado Distrital;33133;PMN;Aguardando julgamento;mobilizar pra mudar
Concorrendo;AUGUSTO CESAR DA SILVA FREIRE;PROF AUGUSTO FREIRE;Deputado Distrital;17456;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;DIEGO RODRIGUES MATOS;PROF. DIEGO MATOS DA FERCAL;Deputado Distrital;70678;AVANTE;Deferido;AVANTE
Concorrendo;CLAUDIO AARON RIBEIRO;PROFESSOR AARON;Deputado Distrital;23000;PPS;Aguardando julgamento;PPS
Concorrendo;CLAUDIA SOUSA COSTA;PROFESSORA CLÁUDIA COSTA;Deputado Distrital;11114;PP;Aguardando julgamento;PP
Concorrendo;ADIMÁRIO TEODORO DA SILVA LEITE DE FARIA;PROFESSOR ADIMÁRIO TEODORO;Deputado Distrital;10011;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;MARIA EMILIA BASTOS STENZEL;PROFESSORA EMILIA STENZEL;Deputado Distrital;43111;PV;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;ETEL NÚCIA OLIVEIRA MONTEIRO;PROFESSORA ETEL;Deputado Distrital;40200;PSB;Aguardando julgamento;PSB
Concorrendo;FRANCISMAR MOREIRA DE FIGUEIREDO LIMA;PROFESSORA FRANCIS;Deputado Distrital;40777;PSB;Aguardando julgamento;PSB
Concorrendo;MARIA DE FATIMA PEREIRA DA SILVA GODOI;PROFESSORA GODOI;Deputado Distrital;90180;PROS;Aguardando julgamento;PROS
Concorrendo;HELCIMAR EVANGELISTA DA SILVA;PROFESSORA HELCIMAR;Deputado Distrital;45001;PSDB;Aguardando julgamento;TODOS PELO DF
Concorrendo;JOSE AILTON FERREIRA DE OLIVEIRA;PROFESSOR AILTON;Deputado Distrital;20900;PSC;Aguardando julgamento;PSC
Concorrendo;JACIRA SIQUEIRA SILVA;PROFESSORA JACIRA;Deputado Distrital;14555;PTB;Aguardando julgamento;PTB
Concorrendo;LUCIA DE FATIMA FELIX DA SILVA;PROFESSORA LUCIA;Deputado Distrital;17234;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;MARIA ANTÔNIA RODRIGUES MAGALHÃES;PROFESSORA MARIA ANTÔNIA;Deputado Distrital;77777;SOLIDARIEDADE;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ÂNGELO ZANOLLY BATISTA RABELO;PROFESSOR ÂNGELO ZANOLLY;Deputado Distrital;31111;PHS;Aguardando julgamento;PHS
Concorrendo;SIHAMI JABER MUDARRA;PROFESSORA SIHAMI;Deputado Distrital;14001;PTB;Aguardando julgamento;PTB
Concorrendo;WALDETE RODRIGUES DE SOUSA;PROFESSORA WALDETE;Deputado Distrital;51222;PATRI;Aguardando julgamento;RENOVA DF
Concorrendo;ANTÔNIO CARLOS PEREIRA DE ARRUDA;PROFESSOR CARLOS ARRUDA;Deputado Distrital;19061;PODE;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;CELSO ANTÔNIO PEREIRA DA SILVA;PROFESSOR CELSO;Deputado Distrital;40153;PSB;Aguardando julgamento;PSB
